N,P,K,temperature,humidity,pH,rainfall,state,crop
88.0,48.0,20.0,21.95982502,68.60946474,7.54076319,182.70923121,Manipur,wheat
88.0,54.0,25.0,25.91036083,67.49116181,7.695485,218.17250825,Rajasthan,greenbanana
90.0,56.0,24.0,19.57882825,77.86506023,7.27350867,170.8317131,Meghalaya,pumpkin
75.0,38.0,27.0,22.27152135,57.71022387,5.10169294,103.37017015,Karnataka,tapioca
88.0,38.0,28.0,22.32834714,63.66457312,6.40926996,165.5362893,Bihar,coconutoil
97.0,43.0,24.0,23.36565759,78.79921348,6.14752332,214.5322384,Arunachal Pradesh,fieldpea
74.0,49.0,35.0,25.46744699,70.03633689,6.89511623,209.49547819,Telangana,lime
79.0,60.0,38.0,21.93205496,67.13320169,5.56910678,127.10180123,Uttar Pradesh,groundnutseed
85.0,59.0,21.0,20.18355684,61.78837868,5.03919944,189.69327192,Madhya Pradesh,sweetlime
85.0,39.0,37.0,20.60689693,69.8610866,7.36884991,297.53098153,Arunachal Pradesh,ladiesfinger
99.0,43.0,21.0,26.62820177,69.31631401,5.62830564,259.67641573,Goa,tobacco
84.0,50.0,42.0,22.35627329,81.67023342,7.41575118,186.61310032,Meghalaya,turnip
78.0,46.0,44.0,22.17558096,72.79338522,5.87163882,71.59384191,Himachal Pradesh,papaya
97.0,59.0,31.0,25.32121641,78.84999287,7.14641445,147.69152517,Chhattisgarh,cashewnuts
67.0,44.0,38.0,25.1018086,66.94724806,7.69764871,289.22320562,Goa,linseed
81.0,59.0,43.0,23.98034846,76.09551267,5.59415446,155.41754032,Manipur,drumstick
75.0,58.0,43.0,18.28930104,79.62206267,6.24109881,177.95053254,Jharkhand,brinjal
97.0,57.0,34.0,22.80843914,57.69148275,7.48214509,185.3442658,Bihar,cauliflower
83.0,59.0,24.0,22.93554998,74.9439775,5.3893228,256.99829182,Bihar,methileaves
98.0,50.0,28.0,21.18802058,60.77198972,7.42198058,127.61779789,West Bengal,linseed
72.0,46.0,29.0,26.16361877,58.53140644,6.85125514,161.94252302,Meghalaya,pumpkin
71.0,39.0,39.0,20.9964902,66.40824967,7.3082072,88.768541,Meghalaya,maidaatta
77.0,51.0,38.0,24.20603745,55.88595968,5.53715318,282.89060551,Punjab,varagu
79.0,45.0,31.0,24.57280101,64.06975395,6.27931673,132.34964865,Haryana,plum
88.0,35.0,34.0,20.61170651,69.7636037,6.37190206,116.31803365,Tamil Nadu,pear
60.0,37.0,34.0,25.8881201,62.18456207,6.6087756,195.5058008,Rajasthan,tamarindfruit
95.0,56.0,22.0,24.43403916,79.41269678,6.96589187,111.29732501,Haryana,elephantyam
87.0,44.0,30.0,23.02170306,59.41386687,7.99048233,173.52462776,Mizoram,bengalgram
81.0,48.0,44.0,26.87993497,82.84815928,6.90910521,193.41676319,Tamil Nadu,plum
92.0,42.0,16.0,19.48941901,73.06480739,7.85181991,193.60346151,Sikkim,chanadal
67.0,59.0,41.0,21.90241787,65.27231397,7.53077821,232.06498105,Sikkim,ashgourd
85.0,37.0,27.0,24.42594421,79.63953147,6.10505635,195.31362949,Karnataka,cauliflower
63.0,44.0,28.0,25.69306681,78.16960362,7.81954209,254.61043031,Goa,seam
83.0,38.0,30.0,23.190002,71.95654784,5.22682292,174.2309161,Arunachal Pradesh,karamani
89.0,52.0,30.0,24.87808254,63.99521101,7.03965494,282.31047286,Assam,nigerseed
65.0,56.0,45.0,20.69891451,76.52548366,7.28029624,296.4366949,Manipur,tamarindfruit
94.0,38.0,28.0,24.00699143,68.71080218,5.27665631,289.46330859,West Bengal,chickpea
74.0,59.0,29.0,21.73825687,68.27900566,7.35494392,101.65444981,Tamil Nadu,horsegram
61.0,37.0,22.0,19.24432049,61.83335559,7.5009421,261.41378952,Tamil Nadu,lentil
78.0,37.0,17.0,26.8957601,60.52977853,6.51726851,296.79877628,Andhra Pradesh,varagu
73.0,53.0,26.0,18.98183934,71.60773683,5.97669396,285.59331342,Rajasthan,cowpea
99.0,43.0,43.0,20.10813913,79.30995404,6.27852466,60.59531392,Uttar Pradesh,groundnut
96.0,55.0,37.0,23.66669249,56.14207623,7.84769359,190.81926034,Uttar Pradesh,coriander
65.0,46.0,16.0,20.74739542,77.79476938,7.46520065,231.81361954,Madhya Pradesh,rubber
83.0,58.0,15.0,18.6631733,72.2482051,6.22361033,177.52083038,Madhya Pradesh,spinach
92.0,38.0,22.0,19.63987378,58.77079391,5.29250938,69.89022304,Goa,amla
60.0,52.0,32.0,24.61503338,55.25902692,7.17838695,268.06593518,Andhra Pradesh,amphophalus
75.0,42.0,15.0,25.27652207,77.11976511,5.33501435,126.56509352,Manipur,suratbeans
80.0,51.0,16.0,25.77879894,60.13027675,5.24519306,229.89801319,Karnataka,amaranthus
92.0,46.0,42.0,20.60859001,59.54036076,7.75308785,196.88293489,Odisha,elephantyam
97.0,59.0,37.0,19.02032641,62.03975413,5.25504438,276.87418538,Punjab,mango
78.0,40.0,28.0,18.72854944,61.02290988,7.58402657,251.41078809,Manipur,greengram
77.0,50.0,17.0,24.43574615,62.00181617,7.37717165,288.50460808,Odisha,mustard
91.0,49.0,37.0,20.87781847,83.96521362,6.43971175,235.66593637,Haryana,pineapple
86.0,57.0,23.0,26.52321302,74.47050692,5.96625683,87.56792903,Goa,mushrooms
67.0,41.0,25.0,18.90862608,72.96425747,5.24891193,241.83307682,Arunachal Pradesh,greengram
79.0,40.0,32.0,24.2255835,60.39963682,5.98081201,187.85554106,Kerala,fish
81.0,50.0,16.0,22.66939157,56.56862792,7.02375656,189.56835953,Mizoram,ridgegourd
68.0,48.0,19.0,21.27976202,65.47985892,6.19184095,140.94389187,Tamil Nadu,chickpea
73.0,40.0,27.0,23.07088098,60.47349498,5.99631532,245.91738558,Uttar Pradesh,orange
96.0,53.0,25.0,26.22669368,76.00178695,5.00277787,180.32617688,Rajasthan,onion
65.0,56.0,33.0,25.35619692,68.19021252,6.79220192,227.73829076,Andhra Pradesh,pumpkin
81.0,42.0,30.0,19.35313114,65.96539355,6.67497672,281.42734464,Madhya Pradesh,cucumber
95.0,60.0,30.0,24.9392327,56.33468008,7.62027747,133.54577091,Tamil Nadu,horsegram
61.0,57.0,41.0,21.86788118,79.95774124,7.49699879,141.11199578,Andhra Pradesh,capsicum
64.0,57.0,16.0,26.11276003,80.99155326,7.00159044,287.64801097,Bihar,jaggery
60.0,50.0,20.0,20.61401811,77.73955541,7.07599078,220.45807629,Uttarakhand,taramira
95.0,47.0,40.0,19.44828203,62.72036477,5.55546027,178.42614088,Uttarakhand,knoolkhol
60.0,49.0,35.0,22.48612866,64.94151482,6.80299485,262.52170579,Andhra Pradesh,turdal
79.0,50.0,35.0,18.10361674,74.47468416,5.35716254,286.4768236,West Bengal,arecanut
65.0,58.0,42.0,23.26679471,84.17405552,6.49257385,157.03707225,Punjab,onion
73.0,53.0,40.0,21.8508764,55.13214715,7.17898345,161.07009587,Sikkim,rajgir
62.0,51.0,29.0,20.388598,66.23212531,7.5953644,197.48593692,Arunachal Pradesh,tomato
76.0,45.0,31.0,20.70108492,83.30023873,6.49896693,165.23938094,Rajasthan,maidaatta
91.0,50.0,37.0,23.66069163,67.33851338,6.72639701,250.40820364,Haryana,lime
99.0,57.0,21.0,21.46062871,79.10327238,7.48469353,145.19506467,Andhra Pradesh,pigeonpea
76.0,41.0,34.0,20.01092184,82.07547697,5.76626683,272.34178474,Manipur,littlegourd
65.0,51.0,19.0,21.89850138,64.28022464,7.85712522,93.99077109,Haryana,barley
93.0,43.0,23.0,24.66746365,63.6914125,6.22141511,237.98226542,West Bengal,soyabean
74.0,58.0,39.0,24.44122644,56.14370952,5.3238056,67.23423338,Gujarat,pomegranate
91.0,56.0,15.0,21.47722187,80.34782998,5.01926268,180.80327573,Chhattisgarh,sugar
95.0,53.0,35.0,20.28801934,81.59865034,5.29565478,237.80501137,Sikkim,greenbanana
70.0,59.0,30.0,24.83340463,82.52770252,5.40369482,201.62232259,Assam,redgram
82.0,36.0,24.0,26.33045925,77.06599712,5.35174863,274.75950175,Tripura,hybridcumbu
63.0,37.0,42.0,19.74833241,80.48485706,5.12865925,125.44211468,Tripura,soyabean
61.0,57.0,15.0,22.34356174,61.8292172,5.25032309,161.56814285,Goa,maize
98.0,54.0,16.0,19.61091671,62.68864309,6.33225832,86.00369949,Arunachal Pradesh,wheatatta
82.0,54.0,45.0,26.46607918,81.20181131,7.79539046,254.08337936,Kerala,spinach
98.0,57.0,17.0,24.17958414,73.55018107,5.39280872,124.42843147,Goa,jaggery
95.0,42.0,18.0,26.57052936,69.75261397,5.15864764,169.78151809,Maharashtra,nigerseed
62.0,38.0,41.0,21.67529486,75.08148869,5.66363575,166.22081365,West Bengal,littlegourd
94.0,39.0,37.0,18.14134873,65.46830006,7.91898659,121.68690703,Chhattisgarh,tendercoconut
95.0,58.0,16.0,18.71895241,64.83350184,6.94025575,172.0092321,Uttarakhand,greenavare
91.0,44.0,32.0,25.6065274,68.68497881,6.41300011,255.23438239,Andhra Pradesh,cotton
74.0,53.0,44.0,22.75900731,65.68685428,6.42732519,81.28131203,Meghalaya,turnip
89.0,56.0,24.0,18.09073129,71.49984973,5.20605517,270.20252043,Haryana,elephantyam
80.0,47.0,39.0,23.32133317,57.0331151,7.09736358,205.86069485,Nagaland,corrianderseed
91.0,58.0,39.0,23.58643682,77.29335542,6.46660533,271.95175177,Goa,rubber
65.0,44.0,44.0,24.21436992,77.28927705,5.55039907,117.4598013,Sikkim,cucumber
62.0,52.0,35.0,25.37143034,62.66861474,6.48966141,96.15544006,Goa,cotton
92.0,39.0,43.0,20.3664928,81.05445581,6.00595318,127.59170118,Manipur,beetroot
94.0,49.0,31.0,22.63997968,73.17251104,7.20971475,231.59311017,Kerala,ashgourd
99.0,44.0,30.0,21.19700299,70.71547587,6.54396902,68.14456693,Punjab,kidneybeans
88.0,54.0,17.0,20.24044996,65.69268857,6.72775568,229.94718684,Tripura,ladiesfinger
73.0,54.0,26.0,19.88742307,65.69727562,7.24909751,292.34087869,Himachal Pradesh,leafyvegetable
75.0,53.0,25.0,19.48554161,81.11571847,7.92601532,87.21182206,West Bengal,dusterbeans
98.0,43.0,28.0,21.85002595,76.71381574,7.81153073,242.34621449,Rajasthan,masurdal
75.0,54.0,29.0,19.86606577,72.30601417,6.56873905,114.62214673,Andhra Pradesh,sweetlime
82.0,58.0,42.0,18.83114543,71.52587944,7.19631311,285.24250454,Arunachal Pradesh,maize
88.0,39.0,30.0,25.82411886,61.52749817,7.19566548,140.52420457,Madhya Pradesh,greenavare
100.0,43.0,43.0,18.46987821,82.492419,5.42848548,276.05158065,Mizoram,soyabean
97.0,49.0,27.0,24.8393726,75.09743452,7.52839695,281.76825106,Rajasthan,wood
73.0,36.0,36.0,20.317655,60.10695717,6.08859088,183.89706461,Madhya Pradesh,colacasia
72.0,43.0,23.0,21.17147668,71.05693776,7.05209701,239.47680807,Nagaland,sweetpumpkin
85.0,60.0,27.0,26.46075721,73.00766464,5.34116036,72.54044215,Maharashtra,greenchilli
71.0,56.0,40.0,23.43847094,55.33337701,6.29969438,238.35054332,Karnataka,cumbu
71.0,55.0,29.0,20.88008482,76.54552188,5.53187818,257.1862761,Rajasthan,potato
88.0,45.0,43.0,24.2539314,74.78061066,5.9174194,153.23112547,Rajasthan,bittergourd
68.0,42.0,24.0,19.05887509,60.78848776,7.43906442,142.49183551,Uttarakhand,frenchbeans
61.0,39.0,42.0,23.15474668,64.35137966,6.52328256,95.99610831,Odisha,pigeonpeas
61.0,48.0,42.0,25.93373207,64.56103797,5.20388544,141.81426536,Mizoram,rubber
88.0,47.0,19.0,21.51597929,58.23667273,7.54135465,175.94773663,Sikkim,tamarindfruit
83.0,39.0,18.0,26.63385498,64.94823342,6.30920823,130.63692943,Kerala,sweetlime
63.0,50.0,39.0,24.65794905,82.37204777,6.72674723,285.74666468,Manipur,rajgir
87.0,53.0,20.0,24.50767927,78.87123036,7.37519233,117.01456664,Arunachal Pradesh,nigerseed
61.0,55.0,18.0,18.89300714,71.39943421,5.20956149,108.4670021,Nagaland,ghee
77.0,41.0,21.0,24.91596854,68.4522672,7.35048884,101.9653223,Arunachal Pradesh,chanadal
91.0,36.0,29.0,23.39372614,57.38327391,7.48716604,186.3103189,Sikkim,jute
99.0,58.0,21.0,26.25685011,65.51442826,5.02676989,212.83864101,Bihar,coffee
70.0,47.0,36.0,18.29012448,55.74149851,7.57079876,143.07017284,Uttar Pradesh,orange
85.0,48.0,36.0,24.0102441,81.09321966,5.6998652,278.85798819,Chhattisgarh,pigeonpeas
96.0,58.0,29.0,20.44737148,60.43606361,5.21342402,182.2549305,West Bengal,pomegranate
88.0,42.0,31.0,24.5911795,76.11872816,5.98645812,290.38871174,Mizoram,drychillies
62.0,55.0,16.0,21.59471339,69.69187195,7.82777077,184.06168062,Arunachal Pradesh,greengram
77.0,52.0,30.0,19.52225789,83.4331539,7.68556728,294.18835132,Uttarakhand,guava
86.0,49.0,33.0,23.50010735,55.23239548,7.52019131,297.30101615,Bihar,varagu
83.0,43.0,29.0,24.05337098,67.08565879,6.2390598,122.15500177,Telangana,wheatatta
93.0,56.0,26.0,22.32929661,79.30864238,5.30254074,253.44968449,Meghalaya,maidaatta
76.0,36.0,40.0,25.72814798,58.42564798,6.54158067,67.05869302,Haryana,grapes
83.0,54.0,18.0,19.65329536,58.59184711,5.3962274,222.16767066,Nagaland,ashgourd
79.0,45.0,39.0,24.72150058,63.67340588,5.92120421,104.00074046,Sikkim,lentil
65.0,52.0,22.0,21.07108372,71.05167758,7.63909707,225.05342587,Jharkhand,coriander
72.0,55.0,26.0,24.60531141,72.0225025,6.26524583,77.97571232,Punjab,tapioca
84.0,52.0,24.0,19.68479413,57.93174281,5.797179,283.03999295,Andhra Pradesh,pomegranate
93.0,54.0,44.0,19.58325723,68.92413855,5.68231157,275.16159941,Uttar Pradesh,chillycapsicum
67.0,58.0,23.0,20.93917186,78.03649211,5.74061921,182.73560468,Rajasthan,cowpea
89.0,59.0,21.0,23.58826568,68.71002965,6.31350256,273.81011868,Sikkim,tendercoconut
90.0,58.0,33.0,20.36443697,61.96384592,5.38290453,173.96916869,Himachal Pradesh,jaggery
82.0,48.0,24.0,20.29741256,77.5270393,5.58732188,143.30292183,Assam,mothbeans
72.0,53.0,43.0,18.53832749,72.57679288,6.61796526,294.15432171,Manipur,apple
94.0,59.0,23.0,20.68875671,76.98375589,5.78292246,217.26385039,Chhattisgarh,arecanut
84.0,56.0,37.0,23.70834844,64.90256443,6.01071784,156.6753626,Uttarakhand,seemebadnekai
61.0,60.0,31.0,19.03617156,74.82032374,7.96071779,245.09104498,Karnataka,amaranthus
81.0,41.0,43.0,25.87702744,64.75121481,6.14410148,65.01138584,Sikkim,mungbean
86.0,51.0,25.0,26.61344323,63.01282109,5.11549488,213.16477516,Haryana,bittergourd
75.0,58.0,17.0,22.11990306,76.04499916,7.11613441,278.4839605,Bihar,jaggery
100.0,53.0,41.0,22.12109528,72.99316689,5.05571264,290.15916149,Telangana,peppergarbled
79.0,36.0,41.0,18.77130107,65.33835769,6.63348858,132.73438042,Manipur,drychillies
99.0,50.0,37.0,26.44349883,61.8720183,7.35578533,251.54138028,Madhya Pradesh,turdal
68.0,57.0,20.0,25.18587698,69.18284024,7.60900451,69.40788858,Gujarat,taramira
97.0,40.0,35.0,19.75848804,66.50021583,7.44960465,218.2156257,Goa,wheatatta
87.0,37.0,23.0,23.43640394,55.45093942,7.87249291,112.50223828,Goa,sesamum
84.0,49.0,44.0,26.18497199,77.81461645,6.18995961,189.81059668,Haryana,pigeonpea
100.0,53.0,15.0,22.40143399,79.6809282,7.17462929,158.63700057,Jharkhand,mint
82.0,49.0,17.0,24.12897738,77.47433147,5.81287886,148.2885143,Karnataka,greenpeas
84.0,54.0,41.0,26.49427565,77.5457439,7.94515215,254.77801403,Gujarat,sesamum
64.0,41.0,45.0,20.36580684,71.07425028,7.72392576,152.97388198,Sikkim,lime
76.0,40.0,34.0,26.7082503,80.30089047,7.35378527,61.01176276,Himachal Pradesh,pomegranate
75.0,56.0,19.0,20.03600278,75.86599837,7.33091545,259.1210107,Punjab,clusterbeans
83.0,58.0,16.0,20.98568279,75.18867373,7.92943604,124.79598154,Bihar,blackpepper
79.0,59.0,24.0,21.75482212,55.25636339,5.93407358,240.0498935,Telangana,sweetlime
98.0,59.0,20.0,20.7495495,60.20443436,5.57266005,234.52776079,Manipur,greenbanana
96.0,47.0,25.0,20.84716017,67.91602775,7.76854862,263.25385008,Madhya Pradesh,wheatatta
89.0,45.0,29.0,26.00718617,63.27186162,7.58783766,206.03546034,Madhya Pradesh,chanadal
79.0,56.0,22.0,24.27159178,66.6360497,7.23314283,90.03814503,Arunachal Pradesh,bittergourd
72.0,54.0,34.0,22.94037226,74.51795702,5.88200465,246.39517008,Uttar Pradesh,raddish
98.0,44.0,45.0,24.71098709,60.97120807,5.32922938,235.68942633,Haryana,wood
60.0,52.0,22.0,18.04060334,60.27539886,5.1619331,187.73652786,Bihar,onion
70.0,40.0,22.0,24.11384907,59.96753828,5.80980398,104.42952955,Sikkim,spongegourd
69.0,48.0,18.0,19.99468208,74.19619742,6.37471346,191.1781429,West Bengal,watermelon
97.0,36.0,38.0,24.3937763,76.20979372,5.6644229,121.37222742,West Bengal,amorphophallus
71.0,49.0,43.0,23.94355232,59.20323281,7.69942265,181.21069192,West Bengal,methileaves
64.0,44.0,41.0,19.65689241,80.3300935,5.33716486,155.38533123,Sikkim,rajgir
91.0,36.0,23.0,23.92960329,56.46319369,6.84826977,235.28908753,Gujarat,greenbanana
90.0,40.0,23.0,21.81195847,73.69432983,7.332329,158.27030416,Mizoram,orange
89.0,45.0,30.0,23.6211065,84.93039276,6.23856439,62.58835971,Chhattisgarh,urddal
80.0,50.0,16.0,26.49880863,74.45958543,7.59821453,199.0418327,Andhra Pradesh,beans
73.0,36.0,44.0,22.01606529,72.47682703,6.61462992,286.65442127,Maharashtra,tinda
96.0,57.0,17.0,21.91924849,76.65508079,7.95790701,143.46430947,Himachal Pradesh,spinach
97.0,45.0,29.0,25.21453325,68.10607648,7.31248745,163.71197023,Jharkhand,chanadal
81.0,49.0,42.0,24.21145638,78.23733507,7.76192303,240.64129091,Tripura,roundgourd
78.0,53.0,37.0,21.34740317,65.17513311,7.95304527,292.57015243,Telangana,ragi
77.0,45.0,30.0,23.96432564,83.36777569,7.7644,94.81836962,Madhya Pradesh,mustard
71.0,43.0,41.0,25.44525854,72.29212361,6.25053949,173.30807539,Jharkhand,moongdal
93.0,41.0,18.0,21.68376051,71.12353594,5.7584179,227.63745527,Mizoram,horsegram
87.0,45.0,31.0,21.68081714,78.43404724,6.05674373,264.30482493,West Bengal,chholia
70.0,55.0,43.0,20.72083634,84.32667527,5.06741438,150.71272283,Tamil Nadu,carrot
61.0,53.0,42.0,22.84822098,60.32465147,7.22888352,157.67780678,Chhattisgarh,ghee
97.0,37.0,44.0,21.70436364,80.49472162,7.00583814,197.41525558,Goa,tinda
70.0,39.0,41.0,20.71699987,65.61662677,7.31070539,86.18722211,Meghalaya,colacasia
81.0,52.0,20.0,21.91620814,60.59157801,7.25690011,139.0114631,Manipur,pear
61.0,50.0,21.0,18.70551058,74.72159683,6.6485361,193.38375829,Jharkhand,ragi
63.0,54.0,37.0,23.74647932,59.40429756,6.75594775,296.75977112,Odisha,kidneybeans
90.0,50.0,21.0,20.74664124,77.65467609,6.81544649,263.42511777,Goa,cucumber
98.0,40.0,38.0,26.15231105,75.56044202,7.76009352,183.22901601,Uttarakhand,rice
75.0,39.0,22.0,20.23442549,55.73019179,6.95979895,66.32744371,Kerala,peppergarbled
98.0,46.0,44.0,26.80422963,67.81002611,6.75862822,219.76212393,Kerala,peppergarbled
99.0,52.0,36.0,19.36704697,74.52780016,5.57824348,145.96193091,West Bengal,amphophalus
75.0,38.0,32.0,22.60894579,63.29665427,6.56272217,265.58511931,Sikkim,peas
87.0,57.0,17.0,19.44494614,70.97182072,5.81562669,158.50948601,Gujarat,jowar
67.0,48.0,33.0,25.93958558,62.4568964,7.94894446,260.6028125,Telangana,blackpepper
85.0,39.0,26.0,18.18099598,78.46908771,7.40490251,147.94054204,Tripura,wood
100.0,43.0,23.0,19.05610153,82.08289557,7.39155676,214.80357318,Karnataka,rice
65.0,39.0,18.0,22.09109643,55.50317891,6.04728886,115.74095039,Odisha,rajgir
85.0,36.0,39.0,18.28299473,84.89709361,7.66315636,265.42076508,Tamil Nadu,ridgegourd
87.0,47.0,35.0,26.99134387,82.56803501,5.92976572,69.5855064,Arunachal Pradesh,arecanut
74.0,56.0,29.0,22.95226948,59.15664218,5.67729441,280.7143473,Himachal Pradesh,brokenrice
83.0,45.0,21.0,18.50250995,77.05861763,6.94665053,201.14423345,Sikkim,mint
64.0,51.0,37.0,18.49718361,75.75497692,5.85431804,268.66104203,Telangana,cauliflower
71.0,55.0,22.0,20.60981004,79.22131043,7.98663661,256.6336647,Punjab,mustard
78.0,50.0,21.0,22.00522454,61.87085114,5.76931333,154.37703067,Punjab,greenavare
82.0,45.0,23.0,20.61136004,63.40136058,5.8242132,281.41343166,Sikkim,mothbeans
63.0,54.0,27.0,20.57498402,63.00090833,5.92694807,133.59108004,Uttar Pradesh,spongegourd
70.0,51.0,38.0,19.96459687,72.89397849,7.26572481,296.22884999,Punjab,chanadal
62.0,42.0,34.0,22.83362507,82.26095909,5.53262389,258.77286185,Tripura,lemon
64.0,59.0,41.0,18.79973985,71.63161339,6.05805627,285.65356855,Jharkhand,tobacco
88.0,46.0,25.0,18.88879122,68.45121434,5.0199802,116.4761097,Chhattisgarh,moongdal
64.0,58.0,25.0,26.74448769,58.70598317,6.15892699,141.64338387,Jharkhand,banana
71.0,36.0,44.0,24.01502222,65.5150738,6.21783604,206.54543582,Maharashtra,coffee
89.0,53.0,30.0,26.69199929,55.37172817,6.25758338,132.01532063,Himachal Pradesh,tamarindfruit
80.0,40.0,24.0,22.58058559,62.09784643,6.90798546,123.35027351,Karnataka,papaya
65.0,58.0,40.0,20.61568885,68.25042738,6.71327942,127.80009522,Uttar Pradesh,turnip
82.0,39.0,44.0,24.42007175,79.65263109,7.33422849,178.9540452,Kerala,karamani
66.0,58.0,16.0,21.91719521,82.32428316,7.66851953,217.10822608,Kerala,turdal
63.0,59.0,33.0,21.45421548,76.1087851,5.66933837,202.29634133,Bihar,bittergourd
84.0,55.0,35.0,23.46923261,83.32556948,5.80521832,240.82590737,Maharashtra,mango
86.0,41.0,26.0,20.7838797,61.21173323,7.19308516,246.3854082,Chhattisgarh,tobacco
87.0,59.0,24.0,18.4789902,55.59269867,5.78439793,153.97303196,Mizoram,amorphophallus
62.0,51.0,29.0,20.05516645,69.78791366,6.9095624,120.24732718,Mizoram,mothbeans
95.0,35.0,18.0,25.04138969,75.08513847,6.26615061,134.95470014,Bihar,ragi
63.0,45.0,23.0,22.02134608,57.74917544,6.41129983,169.27309904,Arunachal Pradesh,squash
64.0,58.0,32.0,24.15481069,74.61044057,5.37710812,202.17745347,Uttar Pradesh,betalleaves
98.0,48.0,28.0,22.91648256,62.85505179,6.73681888,72.94864835,Uttar Pradesh,varagu
71.0,53.0,17.0,26.08652125,68.49435941,5.03973873,220.50704704,West Bengal,wheat
89.0,48.0,37.0,18.83184682,73.9784886,5.50478108,68.60209095,Uttar Pradesh,tinda
89.0,42.0,38.0,22.04799469,73.07547903,6.98822969,144.43393957,West Bengal,cauliflower
96.0,48.0,41.0,21.31190061,61.6132027,7.8170486,200.79456049,West Bengal,bengalgram
74.0,55.0,18.0,20.45400945,68.25431677,6.5059236,187.49808504,West Bengal,drychillies
65.0,41.0,39.0,21.30447937,68.25332907,5.4242547,80.88997673,Meghalaya,mushrooms
97.0,47.0,39.0,20.89410648,58.0163474,6.45319962,127.69457898,Uttar Pradesh,kinnow
92.0,38.0,33.0,23.72780507,79.66362474,6.14238508,116.29815197,Madhya Pradesh,wheatatta
78.0,50.0,35.0,21.35790263,76.50410393,6.81658606,288.01926605,Andhra Pradesh,raddish
65.0,36.0,40.0,23.40768824,74.51436688,7.79158767,115.02587008,Karnataka,pear
81.0,36.0,29.0,26.53579112,61.43453592,6.4480672,194.06503856,Jharkhand,pomegranate
86.0,54.0,19.0,18.24483248,70.9055815,5.29416332,141.47336361,Uttarakhand,gingellyoil
95.0,40.0,43.0,22.11150623,81.96244349,6.01003932,261.62548754,Odisha,dusterbeans
96.0,40.0,21.0,24.5833406,82.72196527,7.26424549,108.06196149,Odisha,peascod
97.0,38.0,42.0,23.25679261,76.48863371,7.13025145,208.94214724,Sikkim,ghee
85.0,41.0,40.0,18.45872431,64.91185764,7.84658442,187.68998925,West Bengal,beetroot
61.0,59.0,22.0,23.90618814,75.0820024,5.29414749,263.0307689,Maharashtra,spinach
91.0,39.0,20.0,18.93163044,58.80196289,7.02320376,203.19122773,Gujarat,greengram
83.0,56.0,19.0,24.36216837,69.27818932,5.92920571,253.10845217,Himachal Pradesh,drumstick
78.0,55.0,20.0,19.06378219,71.84583652,7.48131383,182.9239345,Andhra Pradesh,ashgourd
76.0,59.0,33.0,26.59905886,65.40635158,6.62545599,254.61597159,Maharashtra,karamani
88.0,53.0,34.0,21.77417662,84.95887388,6.4439324,176.92016133,Assam,longmelon
64.0,46.0,23.0,22.36533564,81.51393911,5.29491027,273.08179773,Rajasthan,cauliflower
62.0,50.0,41.0,19.30649487,69.29474617,7.49116374,285.38981013,Assam,wheatatta
95.0,58.0,34.0,22.74402094,64.8774086,6.22579658,245.58807668,Odisha,jute
85.0,55.0,18.0,25.59939086,63.17494021,7.11216318,210.26804481,Arunachal Pradesh,thinai
89.0,39.0,34.0,18.58278857,83.16459902,7.31915425,86.35696846,Goa,cotton
75.0,56.0,42.0,22.75306491,81.78785666,5.46134038,256.07755711,Rajasthan,thinai
75.0,41.0,26.0,26.89898388,81.83431553,5.12594562,97.10718575,Chhattisgarh,groundnut
87.0,38.0,43.0,23.1547319,56.8448732,5.31325986,125.25960058,Telangana,potato
89.0,39.0,35.0,20.02542063,77.87528142,7.42350485,294.98492437,Kerala,brokenrice
62.0,47.0,18.0,18.72322162,70.10396252,5.87340726,267.44956143,Rajasthan,rice
92.0,47.0,31.0,25.42459699,71.75663494,6.39986277,74.00701223,Arunachal Pradesh,taramira
72.0,46.0,37.0,18.8289312,56.61593785,5.69331356,246.33014097,Bihar,suratbeans
94.0,48.0,33.0,20.94089214,76.01803898,5.57127878,261.64112146,Odisha,seam
72.0,42.0,17.0,26.16964218,60.78792744,6.9496051,256.1222703,Haryana,karamani
87.0,55.0,25.0,22.09967758,58.20461938,5.25844664,284.93281635,Rajasthan,mustardoil
73.0,39.0,30.0,24.83598383,78.54133864,6.17458131,185.55022219,Chhattisgarh,seemebadnekai
66.0,35.0,38.0,18.45344398,61.6709349,7.47230133,189.12108093,Chhattisgarh,capsicum
82.0,41.0,42.0,22.53549772,55.20256834,5.66512699,282.29978309,Arunachal Pradesh,seam
68.0,37.0,20.0,25.16384022,60.04534551,7.13877541,208.86571763,Manipur,onion
71.0,59.0,18.0,26.86809685,77.72055065,5.00977196,190.01138605,Telangana,suratbeans
96.0,59.0,21.0,25.69782407,56.88823839,6.63071334,137.68341585,Assam,turnip
75.0,59.0,22.0,19.89429286,65.06643146,6.78348043,199.24203019,Goa,snakeguard
78.0,52.0,35.0,22.2868858,75.431426,6.0792791,182.53946884,Goa,cauliflower
60.0,40.0,35.0,23.04341193,55.21044011,6.99920753,85.53556636,Sikkim,paddy
99.0,35.0,45.0,20.20921848,68.87933107,5.48956934,278.88218757,Bihar,knoolkhol
73.0,53.0,35.0,22.63645196,80.87914003,7.59267057,205.62580245,Sikkim,suratbeans
81.0,52.0,38.0,21.72681428,70.70190573,6.29713739,215.55379604,Gujarat,banana
